cik,entityName_current,period_start_FY_end,period_end_FY_end,ratio_as_reported_earlier,ratio_as_reported_later,level_restatement_factor_on_earlier_FY,abs_log_deviation,filed_earlier,filed_later,case
1402281,Erin Energy Corp.,2011-12-31,2012-12-31,1.008134,1.669096,1.0,5.041811e-01,2014-03-14,2014-12-19,level unchanged
1402281,Erin Energy Corp.,2012-12-31,2013-12-31,1.004961,1.398995,1.65563,3.308054e-01,2014-03-14,2014-12-19,LEVEL RESTATED (split / stock div / recast)
1679688,"DigitalBridge Group, Inc.",2015-12-31,2016-12-31,0.971496,1.011755,0.86197,4.060413e-02,2017-02-28,2018-03-01,LEVEL RESTATED (split / stock div / recast)
1579157,VINCE HOLDING CORP.,2020-02-01,2021-01-30,1.008928,1.0,1.00893,8.888215e-03,2021-04-30,2022-04-29,level unchanged
1631761,Yiren Digital Ltd.,2017-12-31,2018-12-31,1.014832,1.009793,1.51455,4.977799e-03,2019-04-29,2020-05-15,LEVEL RESTATED (split / stock div / recast)
1318605,"Tesla, Inc.",2018-12-31,2019-12-31,1.035088,1.039859,4.9883,4.599259e-03,2020-02-13,2021-02-08,LEVEL RESTATED (split / stock div / recast)
800240,The ODP Corporation,2018-12-29,2019-12-28,0.985533,0.981818,0.09946,3.776932e-03,2020-02-26,2021-02-24,LEVEL RESTATED (split / stock div / recast)
949157,Century Aluminum Company,2010-12-31,2011-12-31,0.99113,0.9888,1.00675,2.354204e-03,2012-02-29,2013-03-18,level unchanged
1045810,NVIDIA CORP,2020-01-26,2021-01-31,1.013136,1.01148,4.00493,1.636038e-03,2021-02-26,2022-03-18,LEVEL RESTATED (split / stock div / recast)
1318605,"Tesla, Inc.",2017-12-31,2018-12-31,1.028759,1.03012,1.00146,1.322748e-03,2019-02-19,2020-02-13,level unchanged
1018724,AMAZON COM INC,2020-12-31,2021-12-31,1.012,1.011194,20.01,7.963617e-04,2022-02-04,2023-02-03,LEVEL RESTATED (split / stock div / recast)
1045810,NVIDIA CORP,2014-01-26,2015-01-25,0.939489,0.938776,1.00018,7.597210e-04,2015-03-12,2016-03-17,level unchanged
1318605,"Tesla, Inc.",2020-12-31,2021-12-31,1.056806,1.057541,2.99893,6.953434e-04,2022-02-07,2023-01-31,LEVEL RESTATED (split / stock div / recast)
1327567,"PALO ALTO NETWORKS, INC",2021-07-31,2022-07-31,1.021784,1.022484,2.99896,6.841935e-04,2022-09-06,2023-09-01,LEVEL RESTATED (split / stock div / recast)
800240,The ODP Corporation,2011-12-31,2012-12-29,1.006509,1.007194,1.0003,6.804681e-04,2013-04-30,2014-02-25,level unchanged
99780,TRINITY INDUSTRIES INC,2012-12-31,2013-12-31,0.988357,0.987718,2.00129,6.466214e-04,2014-02-20,2015-02-19,LEVEL RESTATED (split / stock div / recast)
40545,GENERAL ELECTRIC CO,2019-12-31,2020-12-31,1.003324,1.00275,0.12506,5.726533e-04,2021-02-12,2022-02-11,LEVEL RESTATED (split / stock div / recast)
946647,PREMIER FINANCIAL CORP,2014-12-31,2015-12-31,0.969509,0.968964,0.001,5.625937e-04,2016-02-29,2017-02-28,LEVEL RESTATED (split / stock div / recast)
1166691,COMCAST CORPORATION,2015-12-31,2016-12-31,0.969429,0.969228,2.0,2.074904e-04,2017-02-03,2018-01-31,LEVEL RESTATED (split / stock div / recast)
846377,"TOTALIGENT, INC.",2012-06-30,2013-06-30,1.00241,1.002578,1.0,1.673186e-04,2013-10-15,2014-04-30,level unchanged
1327567,"PALO ALTO NETWORKS, INC",2023-07-31,2024-07-31,1.05277,1.052935,2.0,1.566293e-04,2024-09-06,2025-08-29,LEVEL RESTATED (split / stock div / recast)
104169,WALMART INC.,2022-01-31,2023-01-31,0.975645,0.975525,3.0,1.223766e-04,2023-03-17,2024-03-15,LEVEL RESTATED (split / stock div / recast)
1499912,"Global Brokerage, Inc.",2013-12-31,2014-12-31,1.269847,1.269899,0.1,4.155114e-05,2015-03-16,2016-03-11,LEVEL RESTATED (split / stock div / recast)
908311,CREATIVE MEDIA & COMMUNITY TRUST CORPORATION,2017-12-31,2018-12-31,0.634097,0.634073,0.33334,3.731512e-05,2019-03-18,2020-03-16,LEVEL RESTATED (split / stock div / recast)
858470,COTERRA ENERGY INC.,2019-12-31,2020-12-31,0.959104,0.959135,1.00117,3.227024e-05,2021-02-26,2022-03-01,level unchanged
831001,Citigroup Inc,2009-12-31,2010-12-31,2.487487,2.487552,0.1,2.593327e-05,2011-02-25,2012-02-24,LEVEL RESTATED (split / stock div / recast)
82166,"RAVEN INDUSTRIES, INC.",2011-01-31,2012-01-31,1.002767,1.002787,1.99999,1.927949e-05,2012-03-30,2013-03-29,LEVEL RESTATED (split / stock div / recast)
1828972,"BuzzFeed, Inc.",2022-12-31,2023-12-31,1.035571,1.035585,0.25,1.397986e-05,2024-03-29,2025-03-14,LEVEL RESTATED (split / stock div / recast)
1352010,"EPAM SYSTEMS, INC.",2015-12-31,2016-12-31,1.032594,1.032604,1.0,1.039742e-05,2017-03-01,2018-02-27,level unchanged
910329,"Medifast, Inc.",2014-12-31,2015-12-31,0.943874,0.943883,0.99997,9.472353e-06,2016-03-15,2017-03-16,level unchanged
1352010,"EPAM SYSTEMS, INC.",2018-12-31,2019-12-31,1.020447,1.020439,1.0,7.771035e-06,2020-03-02,2021-02-25,level unchanged
20520,"Frontier Communications Parent, Inc.",2015-12-31,2016-12-31,1.073292,1.073284,0.06667,7.753642e-06,2017-03-01,2018-03-01,LEVEL RESTATED (split / stock div / recast)
1352010,"EPAM SYSTEMS, INC.",2016-12-31,2017-12-31,1.035136,1.035143,0.99999,6.984280e-06,2018-02-27,2019-02-26,level unchanged
858470,COTERRA ENERGY INC.,2009-12-31,2010-12-31,1.002847,1.002851,2.0,4.427651e-06,2011-02-28,2012-02-28,LEVEL RESTATED (split / stock div / recast)
745732,"Ross Stores, Inc.",2010-01-30,2011-01-29,0.958775,0.958771,2.0,4.243735e-06,2011-03-29,2012-03-27,LEVEL RESTATED (split / stock div / recast)
1679688,"DigitalBridge Group, Inc.",2020-12-31,2021-12-31,1.037795,1.037799,0.25,4.223356e-06,2022-02-28,2023-02-27,LEVEL RESTATED (split / stock div / recast)
1027884,CHICAGO BRIDGE & IRON CO N V,2011-12-31,2012-12-31,0.985827,0.98583,0.001,2.594445e-06,2013-02-28,2014-02-27,LEVEL RESTATED (split / stock div / recast)
858470,COTERRA ENERGY INC.,2011-12-31,2012-12-31,1.004988,1.004986,2.0,2.386205e-06,2013-02-28,2014-02-28,LEVEL RESTATED (split / stock div / recast)
1065280,NETFLIX INC,2013-12-31,2014-12-31,1.032304,1.032301,6.99998,2.301056e-06,2015-01-29,2016-01-28,LEVEL RESTATED (split / stock div / recast)
898293,JABIL INC,2019-08-31,2020-08-31,0.974295,0.974293,0.99992,2.204234e-06,2020-10-22,2021-10-22,level unchanged
1402281,Erin Energy Corp.,2011-12-31,2012-12-31,1.008133,1.008134,2434.79386,1.223379e-06,2013-04-15,2014-03-14,LEVEL RESTATED (split / stock div / recast)
84129,Rite Aid Corporation,2017-03-04,2018-03-03,1.00498,1.004979,0.05,9.195149e-07,2018-04-26,2019-04-25,LEVEL RESTATED (split / stock div / recast)
1402281,Erin Energy Corp.,2013-12-31,2014-12-31,1.329754,1.329753,0.16667,5.644197e-07,2015-03-16,2016-03-24,LEVEL RESTATED (split / stock div / recast)
858470,COTERRA ENERGY INC.,2010-12-31,2011-12-31,1.003248,1.003248,1.0,5.201405e-07,2012-02-28,2013-02-28,level unchanged
320193,Apple Inc.,2012-09-29,2013-09-28,0.989852,0.989852,7.0,4.631546e-07,2013-10-30,2014-10-27,LEVEL RESTATED (split / stock div / recast)
1352010,"EPAM SYSTEMS, INC.",2017-12-31,2018-12-31,1.029687,1.029686,1.0,4.163615e-07,2019-02-26,2020-03-02,level unchanged
1065280,NETFLIX INC,2023-12-31,2024-12-31,0.972707,0.972706,10.0,2.201096e-07,2025-01-27,2026-01-23,LEVEL RESTATED (split / stock div / recast)
1346830,"TVARDI THERAPEUTICS, INC.",2022-12-31,2023-12-31,1.009235,1.009235,0.08333,1.668901e-07,2024-03-06,2025-03-11,LEVEL RESTATED (split / stock div / recast)
320193,Apple Inc.,2018-09-29,2019-09-28,0.931883,0.931883,4.0,1.009005e-07,2019-10-31,2020-10-30,LEVEL RESTATED (split / stock div / recast)
745732,"Ross Stores, Inc.",2014-02-01,2015-01-31,0.971327,0.971327,2.0,6.933403e-08,2015-03-31,2016-03-29,LEVEL RESTATED (split / stock div / recast)
