cik,entityName_current,cohort,n_WASO_basic_facts,n_dei_ECSSO_facts,detector_T_tag_ratios,detector_R_strict_factors,detector_J_jump_ratios_gt20pct
10456,BAXTER INTERNATIONAL INC.,RANDOM,238,69,,,
20520,"Frontier Communications Parent, Inc.",NAMED: Frontier Communications [reverse 2017],169,64,0.0667,0.06667;1000.0,0.06665;1.32035;2.33254
21344,COCA COLA CO,NAMED: Coca-Cola [2:1 2012],0,0,,,
23111,COMPUTER TASK GROUP INC,RANDOM,164,50,,,
40545,GENERAL ELECTRIC CO,NAMED: General Electric [1:8 2021],187,75,0.125,0.12505,0.12505
47217,HP INC.,RANDOM,234,72,,,0.09892;9.93397
82166,"RAVEN INDUSTRIES, INC.",TAGPOS,135,45,2.0,2.00001,2.00139
84129,Rite Aid Corporation,NAMED: Rite Aid [reverse 2019],172,56,0.05,0.001;0.05;1000.0,0.05052
89439,MUELLER INDUSTRIES INC,TAGPOS,212,65,2.0,0.001;2.0;2.00004;1000.0,0.73435;1.9995;2.00036;2.00067
95572,"KiNRG, Inc.",RANDOM,42,27,,,0.00389;0.63516;1.33587;1.36883;1.73143;2.61215;3.9992
97476,TEXAS INSTRUMENTS INCORPORATED,NAMED: Texas Instruments [no split in window],228,69,,0.0;1000000.0,
99780,TRINITY INDUSTRIES INC,RANDOM,214,66,2.0,2.0,2.01477
104169,WALMART INC.,NAMED: Walmart [no split in window],229,70,3.0,2.99982,2.99307
310354,STANDEX INTERNATIONAL CORPORATION,RANDOM,188,64,,,
318833,"TEAM, INC.",TAGPOS,192,62,0.1,0.1,0.10048;1.36909;1.39201
320193,Apple Inc.,"NAMED: Apple [7:1 2014, 4:1 2020]",234,70,4.0;7.0,4.0;7.0,3.97644;6.95147
357173,OLD SECOND BANCORP INC,RANDOM,190,62,,,1.54875;2.11454
700565,"FIRST MID BANCSHARES, INC.",RANDOM,197,65,,,0.00098;0.001;1.26553;1000.12633;1003.08755
719739,SVB Financial Group,NAMED: SVB Financial [DEAD],154,51,,,
737468,Washington Trust Bancorp Inc,RANDOM,239,61,,1000.02772,
745732,"Ross Stores, Inc.",RANDOM,220,68,2.0,2.0,1.98145;1.98403
773717,"AMERICAN CLEAN RESOURCES GROUP, INC.",RANDOM,144,59,,0.01999,0.02001;1.22839;1.5046;4.83029
799088,CARMIKE CINEMAS INC,RANDOM,76,22,,,1.28963;1.36586
800240,The ODP Corporation,NAMED: ODP / Office Depot [reverse 2019],207,65,0.1,0.09927,0.10006;1.84148
816761,TERADATA CORPORATION,RANDOM,215,66,,,
831001,Citigroup Inc,NAMED: Citigroup [1:10 2011],230,68,0.1,0.1,0.09991;1.24549
834162,MTR GAMING GROUP INC,RANDOM,59,16,,,4e-05
844059,"FRP HOLDINGS, INC.",TAGPOS,201,62,2.0,2.0;1000.0,2.00204
846377,"TOTALIGENT, INC.",RANDOM,56,42,,,0.01505;0.02965;0.66021;0.78189;1.22171;1.52575;1.69668;2.45262;2.50111;15.42982;66.43507
