series	window	n	mean	median	t	sd	skew	exkurt	pctpos	k_half	nullG_p50	nullG_p05	nullG_p95	boot_p50	top1sh	top5sh	exTop	exBot	trimBoth	dropBest3	dropWorst3	best12mo_share	clust_p	rho1	yrs_t2	maxDDpct	trough	bestMo	bestMoRet
OP Hi10 VW - VW market	post-pub 2014-01..2024-12	132	0.2639	0.23	1.93	1.567	0.28	-0.05	56.1	5	5	2	10	5	0.124	0.56	0.2329	0.2934	0.2623	0.1756	0.3423	0.538	0.087	0.122	11.8	-10.3	2021-05	2021-11	4.33
OP Hi10 VW - VW market	post-pub ext ..2026-07	151	0.1999	0.21	1.51	1.622	0.09	0.0	55.6	4	5	1	10	5	0.143	0.646	0.1471	0.256	0.2033	0.1216	0.278	0.62	0.0785	0.027	21.9	-10.3	2021-05	2021-11	4.33
OP Hi10 VW - VW market	in-sample 1963-07..2013-12	606	0.0648	0.03	0.93	1.718	0.14	2.57	51.2	3	6	1	14	4	0.192	0.848	0.0008	0.1235	0.0593	0.0304	0.0985	0.737	0.0015	0.145	234.1	-28.9	1982-03	2000-10	7.54
OP Hi10 VW - VW market	full available	757	0.0918	0.06	1.49	1.699	0.13	2.15	52.0	6	9	2	19	6	0.109	0.48	0.0275	0.1512	0.0869	0.0644	0.1188	0.417	0.0027	0.125	114.2	-28.9	1982-03	2000-10	7.54
OP Hi10 EW - EW own universe	post-pub 2014-01..2024-12	132	-0.1013	-0.1385	-0.87	1.337	0.0	0.69	46.2						-0.25	-1.095	-0.1276	-0.0644	-0.0906	-0.1765	-0.0212			0.021		-24.0	2022-03	2022-07	3.35
OP Hi10 EW - EW own universe	post-pub ext ..2026-07	151	-0.1287	-0.211	-1.17	1.355	0.15	0.76	44.4						-0.199	-0.82	-0.1789	-0.0762	-0.1264	-0.2012	-0.058			0.012		-24.0	2022-03	2026-07	3.88
OP Hi10 EW - EW own universe	in-sample 1963-07..2013-12	606	0.0063	-0.0455	0.12	1.236	0.06	1.34	48.5	1	4	1	11	3	1.429	5.461	-0.0338	0.0449	0.0048	-0.0166	0.0274	3.695	0.171	0.081	13001.9	-26.1	2003-10	1966-11	5.42
OP Hi10 EW - EW own universe	full available	757	-0.0207	-0.064	-0.45	1.261	0.07	1.2	47.7						-0.347	-1.353	-0.0626	0.0209	-0.0211	-0.0391	-0.0024			0.068		-34.0	2022-03	1966-11	5.42
OP Hi10 VW - VW own universe	post-pub 2014-01..2024-12	132	0.3372	0.2415	2.0	1.938	0.23	0.14	55.3	5	6	2	10	5	0.13	0.55	0.2956	0.3743	0.3327	0.2248	0.4447	0.428	0.4051	0.113	11.0	-14.0	2021-02	2021-11	5.79
OP Hi10 VW - VW own universe	post-pub ext ..2026-07	151	0.2504	0.209	1.55	1.986	0.13	0.08	54.3	4	5	1	10	5	0.153	0.648	0.1808	0.3142	0.2446	0.1507	0.3456	0.504	0.3724	0.027	21.0	-14.0	2021-02	2021-11	5.79
OP Hi10 VW - VW own universe	in-sample 1963-07..2013-12	606	0.0603	0.043	0.78	1.899	0.02	1.92	51.7	3	5	1	13	4	0.216	0.922	-0.0042	0.1252	0.0606	0.0256	0.0961	0.808	0.0045	0.139	330.3	-35.4	1982-03	2000-10	7.89
OP Hi10 VW - VW own universe	full available	757	0.0982	0.08	1.41	1.917	0.05	1.51	52.2	6	8	2	18	7	0.106	0.453	0.0323	0.1635	0.0976	0.0706	0.127	0.397	0.009	0.117	126.9	-35.4	1982-03	2000-10	7.89
OP Hi10-Lo10 VW spread	post-pub 2014-01..2024-12	132	0.738	0.48	1.65	5.124	0.16	-0.01	54.5	4	5	1	9	4	0.163	0.652	0.6222	0.8244	0.7084	0.4246	0.9929	0.604	0.0915	0.089	16.1	-30.1	2021-02	2016-01	15.9
OP Hi10-Lo10 VW spread	post-pub ext ..2026-07	151	0.4901	0.34	1.18	5.1	0.17	-0.1	53.0	3	4	1	9	4	0.215	0.859	0.2997	0.6379	0.4469	0.2119	0.7072	0.795	0.067	0.088	36.1	-30.3	2026-06	2016-01	15.9
OP Hi10-Lo10 VW spread	in-sample 1963-07..2013-12	606	0.1922	0.3	1.16	4.081	0.18	3.02	53.5	4	6	1	15	5	0.184	0.689	0.0392	0.3252	0.1719	0.1046	0.2726	0.708	0.0005	0.176	150.2	-61.3	1983-05	2000-11	21.49
OP Hi10-Lo10 VW spread	full available	757	0.2517	0.3	1.61	4.301	0.2	2.05	53.4	6	9	2	19	7	0.113	0.437	0.0902	0.3874	0.2257	0.1818	0.3161	0.433	0.0005	0.152	97.4	-61.3	1983-05	2000-11	21.49
OP Hi10-Lo10 EW spread	post-pub 2014-01..2024-12	132	0.5331	0.92	1.19	5.144	-0.54	1.5	56.8	3	4	1	8	4	0.18	0.794	0.4403	0.6899	0.5976	0.2674	0.9088	0.798	0.0555	0.127	31.0	-52.4	2021-02	2021-12	12.69
OP Hi10-Lo10 EW spread	post-pub ext ..2026-07	151	0.4765	0.92	1.12	5.25	-0.4	1.1	55.6	3	4	1	8	4	0.183	0.824	0.3095	0.7168	0.5509	0.2297	0.8028	0.78	0.0907	0.131	40.5	-52.4	2021-02	2026-07	13.14
