bar,date,year,era,members,entries,exits,gross_bp,cost_bp,net_PUB_bp,net_PB_bp,equity_gross_bp,equity_net_PUB_bp,market_bp
1001,2013-12-24,2013,1,28,28,0,-4.86370798,0.7746539,-5.63836188,-5.18275128,-4.863708,-5.638362,42.37463799
1002,2013-12-26,2013,1,28,1,1,38.44342648,0.7746539,37.66877258,38.12438318,33.579719,32.030411,18.06091543
1003,2013-12-27,2013,1,30,2,0,-113.01280209,0.7746539,-113.78745599,-113.33184539,-79.433084,-81.757045,10.13385426
1004,2013-12-30,2013,1,31,1,0,4.66810338,0.7746539,3.89344948,4.34906008,-74.76498,-77.863596,19.87145696
1005,2013-12-31,2013,1,33,2,0,-31.12233454,0.7746539,-31.89698844,-31.44137784,-105.887315,-109.760584,41.52543705
1006,2014-01-02,2014,1,34,1,0,146.24440857,0.7746539,145.46975466,145.92536526,40.357094,35.70917,-92.40416099
1007,2014-01-03,2014,1,35,1,0,11.49150009,0.7746539,10.71684619,11.17245679,51.848594,46.426017,12.80071166
1008,2014-01-06,2014,1,35,0,0,18.63455749,0.7746539,17.85990359,18.31551419,70.483151,64.28592,-51.63223147
1009,2014-01-07,2014,1,37,2,0,-17.23946048,0.7746539,-18.01411438,-17.55850378,53.243691,46.271806,83.55772106
1010,2014-01-08,2014,1,38,1,0,148.03977262,0.7746539,147.26511871,147.72072931,201.283464,193.536925,15.20156553
1011,2014-01-09,2014,1,37,0,1,-32.90715922,0.7746539,-33.68181312,-33.22620252,168.376304,159.855111,47.50324398
1012,2014-01-10,2014,1,36,0,1,-5.62083612,0.7746539,-6.39549002,-5.93987942,162.755468,153.459621,66.30116723
1013,2014-01-13,2014,1,36,0,0,-92.61920023,0.7746539,-93.39385413,-92.93824353,70.136268,60.065767,-138.00564495
1014,2014-01-14,2014,1,36,1,1,53.49920638,0.7746539,52.72455248,53.18016308,123.635474,112.79032,112.29354453
1015,2014-01-15,2014,1,37,1,0,-31.83124251,0.7746539,-32.60589641,-32.15028581,91.804232,80.184423,66.71495116
1016,2014-01-16,2014,1,38,1,0,-95.22859859,0.7746539,-96.00325249,-95.54764189,-3.424367,-15.818829,-1.73879957
1017,2014-01-17,2014,1,39,1,0,-0.41232901,0.7746539,-1.18698291,-0.73137231,-3.836696,-17.005812,-37.18234154
1018,2014-01-21,2014,1,39,0,0,78.44025704,0.7746539,77.66560314,78.12121374,74.603561,60.659791,47.04172367
1019,2014-01-22,2014,1,40,1,0,33.56475893,0.7746539,32.79010503,33.24571563,108.16832,93.449896,45.49119354
1020,2014-01-23,2014,1,41,1,0,-23.28676111,0.7746539,-24.06141501,-23.60580441,84.881559,69.388481,-97.24357094
1021,2014-01-24,2014,1,41,0,0,-90.46435998,0.7746539,-91.23901388,-90.78340328,-5.582801,-21.850533,-237.76850004
1022,2014-01-27,2014,1,43,2,0,-34.79181684,0.7746539,-35.56647074,-35.11086014,-40.374618,-57.417004,-98.17006374
1023,2014-01-28,2014,1,43,0,0,43.12809995,0.7746539,42.35344605,42.80905665,2.753482,-15.063557,103.8442249
1024,2014-01-29,2014,1,43,0,0,-17.24261103,0.7746539,-18.01726493,-17.56165433,-14.489129,-33.080822,-107.24605061
1025,2014-01-30,2014,1,44,1,0,38.10635697,0.7746539,37.33170307,37.78731367,23.617228,4.250881,117.62033814
1026,2014-01-31,2014,1,44,0,0,38.35933964,0.7746539,37.58468574,38.04029634,61.976568,41.835566,-46.65646215
1027,2014-02-03,2014,1,43,0,1,-88.45028953,0.7746539,-89.22494343,-88.76933283,-26.473722,-47.389377,-269.47583763
1028,2014-02-04,2014,1,44,1,0,-10.19004794,0.7746539,-10.96470185,-10.50909125,-36.66377,-58.354079,86.29792373
1029,2014-02-05,2014,1,45,1,0,-24.53281044,0.7746539,-25.30746434,-24.85185374,-61.19658,-83.661543,-32.84899084
1030,2014-02-06,2014,1,46,1,0,-116.57165061,0.7746539,-117.34630451,-116.89069391,-177.768231,-201.007848,130.583849
1031,2014-02-07,2014,1,46,0,0,89.84664241,0.7746539,89.07198851,89.52759911,-87.921588,-111.935859,117.83718443
1032,2014-02-10,2014,1,47,1,0,72.03821972,0.7746539,71.26356582,71.71917642,-15.883369,-40.672293,18.4734926
1033,2014-02-11,2014,1,47,0,0,-31.13733546,0.7746539,-31.91198936,-31.45637876,-47.020704,-72.584283,101.77895349
1034,2014-02-12,2014,1,48,1,0,8.170636,0.7746539,7.3959821,7.8515927,-38.850068,-65.188301,33.47063241
1035,2014-02-13,2014,1,48,0,0,35.43639122,0.7746539,34.66173731,35.11734791,-3.413677,-30.526563,83.45110247
1036,2014-02-14,2014,1,47,0,1,-32.69549173,0.7746539,-33.47014563,-33.01453503,-36.109169,-63.996709,26.3195876
1037,2014-02-18,2014,1,47,0,0,125.48009246,0.7746539,124.70543856,125.16104916,89.370924,60.70873,65.74030357
1038,2014-02-19,2014,1,46,0,1,6.34955644,0.7746539,5.57490254,6.03051314,95.72048,66.283632,-66.12950561
1039,2014-02-20,2014,1,46,0,0,101.90756386,0.7746539,101.13290996,101.58852056,197.628044,167.416542,72.9550256
1040,2014-02-21,2014,1,46,0,0,-25.67903339,0.7746539,-26.45368729,-25.99807669,171.949011,140.962855,9.72436969
1041,2014-02-24,2014,1,45,0,1,58.54599027,0.7746539,57.77133637,58.22694697,230.495001,198.734191,64.45822848
1042,2014-02-25,2014,1,45,0,0,48.60055837,0.7746539,47.82590447,48.28151507,279.095559,246.560096,-7.36939439
1043,2014-02-26,2014,1,46,1,0,-55.84445932,0.7746539,-56.61911322,-56.16350262,223.2511,189.940982,41.11789428
1044,2014-02-27,2014,1,46,0,0,-9.0483756,0.7746539,-9.8230295,-9.3674189,214.202725,180.117953,52.2417858
1045,2014-02-28,2014,1,46,0,0,-48.13862614,0.7746539,-48.91328004,-48.45766945,166.064098,131.204673,-9.68568768
1046,2014-03-03,2014,1,47,1,0,-1.78909837,0.7746539,-2.56375227,-2.10814167,164.275,128.640921,-51.796719
1047,2014-03-04,2014,1,47,1,1,122.13709437,0.7746539,121.36244047,121.81805107,286.412094,250.003361,183.0172783
1048,2014-03-05,2014,1,48,1,0,-37.11353975,0.7746539,-37.88819365,-37.43258305,249.298555,212.115167,2.33848195
1049,2014-03-06,2014,1,48,0,0,2.33212509,0.7746539,1.55747119,2.01308179,251.63068,213.672639,17.06905333
1050,2014-03-07,2014,1,48,0,0,-29.5117139,0.7746539,-30.28636781,-29.83075721,222.118966,183.386271,-15.58884325
1051,2014-03-10,2014,1,48,0,0,5.15654583,0.7746539,4.38189193,4.83750253,227.275512,187.768163,-44.29744176
1052,2014-03-11,2014,1,50,2,0,-67.77133852,0.7746539,-68.54599242,-68.09038182,159.504173,119.22217,-72.08521938
1053,2014-03-12,2014,1,50,0,0,0.36078514,0.7746539,-0.41386876,0.04174184,159.864958,118.808302,20.9924532
1054,2014-03-13,2014,1,50,0,0,-34.48700396,0.7746539,-35.26165786,-34.80604726,125.377954,83.546644,-113.0572701
1055,2014-03-14,2014,1,49,0,1,41.6459861,0.7746539,40.8713322,41.3269428,167.02394,124.417976,19.01503363
1056,2014-03-17,2014,1,49,0,0,-24.76325237,0.7746539,-25.53790627,-25.08229567,142.260688,98.88007,63.35377428
1057,2014-03-18,2014,1,49,0,0,50.10147715,0.7746539,49.32682325,49.78243385,192.362165,148.206893,97.7481014
1058,2014-03-19,2014,1,49,0,0,-20.08961528,0.7746539,-20.86426918,-20.40865858,172.27255,127.342624,-73.47387095
1059,2014-03-20,2014,1,49,0,0,-15.68916383,0.7746539,-16.46381773,-16.00820713,156.583386,110.878806,16.2807285
1060,2014-03-21,2014,1,48,0,1,-56.90899755,0.7746539,-57.68365145,-57.22804085,99.674389,53.195154,-33.14186955
1061,2014-03-24,2014,1,47,1,2,-39.75320783,0.7746539,-40.52786174,-40.07225114,59.921181,12.667293,-97.31617642
1062,2014-03-25,2014,1,47,0,0,-21.23731503,0.7746539,-22.01196893,-21.55635833,38.683866,-9.344676,2.26543979
