trade_id,symbol,row,bar_entry,date_entry,bar_exit,date_exit,hold_bars,era,year_entry,exit_reason,pct_mom,mom_raw,pct_mom_exit,price_close,price_open_fill,price_close_exit,dv,dv_pct,beta,half_spread_PUB_bp,half_spread_PB_bp,members_at_entry,pct_rsi,pct_rev_5,pct_rev_21,pct_dist_52w_high,pct_max_ret_21,pct_park_vol_21,pct_amihud_21,pct_cs_spread,pct_trailing_return,pnl_hedged_bp,pnl_unhedged_bp,pnl_market_bp,mfe_bp,mae_bp,bars_to_mfe,bars_to_mae,two_c_PUB_bp,two_c_PB_bp,pnl_net_PUB_bp,pnl_net_PB_bp,status_meta,delist_date
0,ABFS,8,1001,2013-12-24,1096,2014-05-13,96,1,2013,delist,99.562172,1.21593,99.026549,34.06,34.13,39.42,14707368.0,24.66863,2.25134,42.079474,8.739498,28,70.84063,51.926445,75.394046,52.802102,76.970228,89.229422,76.269702,92.206655,95.359019,1396.33620265,1697.13536861,300.79916596,1546.053917,-1141.122805,93,33,100.67832,20.414991,1295.65788311,1375.92121121,delisted,2014-05-13
1,AXON,142,1001,2013-12-24,1156,2014-08-07,156,1,2013,rank,95.534151,0.670452,78.180212,16.16,15.92,12.18,25835477.221984,42.194404,1.879446,40.332064,0.0,28,17.425569,1.138354,8.669002,24.605954,96.234676,95.183888,85.551664,90.980736,7.09282,-2310.25973454,-1802.72042132,507.53931322,2299.828189,-4205.177343,44,141,79.186321,6.188119,-2389.44605599,-2316.44785335,survived,
2,BBY,158,1001,2013-12-24,1046,2014-03-03,46,1,2013,rank,99.38704,1.208333,74.735915,40.22,40.52,26.15,237122536.619048,93.151694,1.673178,39.871927,13.878151,28,22.329247,2.889667,68.563923,37.740806,65.411559,80.998249,18.301226,90.805604,19.702277,-4125.87832739,-3718.47951981,407.39880759,71.439853,-5153.52362,2,25,88.21872,49.114386,-4214.09704716,-4174.99271365,survived,
3,BCRX,165,1001,2013-12-24,1001,2013-12-24,1,1,2013,ineligible,99.737303,1.292893,99.736842,7.46,7.13,7.46,6356674.373016,0.220913,2.826105,77.981795,0.0,28,86.42732,98.161121,99.036778,39.842382,96.935201,98.686515,99.912434,98.861646,95.183888,422.49271311,462.83309958,40.34038647,422.492713,422.492713,1,1,169.368416,13.404826,253.12429705,409.08788737,survived,
4,BSX,224,1001,2013-12-24,1125,2014-06-24,125,1,2013,rank,96.409807,0.717756,79.946996,11.99,11.97,12.58,141368153.18,85.051546,0.875751,35.094224,2.347082,28,51.225919,82.924694,42.644483,60.157618,85.901926,66.637478,22.854641,85.376532,49.649737,-128.92120046,674.3056333,803.22683377,1320.076025,-180.411708,26,124,67.037961,21.158029,-195.95916119,-150.07922963,survived,
5,BWLD,235,1001,2013-12-24,1194,2014-10-01,194,1,2013,rank,96.584939,0.741595,75.883392,145.46,145.79,131.93,50216928.009524,61.192931,1.097238,28.941503,0.0,28,37.390543,38.091068,17.600701,59.632224,69.964974,54.553415,49.649737,69.43958,55.779335,-974.13860159,-567.05402022,407.08458137,927.221345,-1166.005393,149,40,68.013101,65.345166,-1042.15170228,-1039.48376714,delisted,2018-02-05
6,DAL,386,1001,2013-12-24,1223,2014-11-11,223,1,2013,rank,97.810858,0.860461,74.553571,27.84,27.51,43.84,354102211.761905,96.539028,0.916699,25.811423,41.677818,28,24.605954,8.143608,27.93345,47.898424,44.921191,75.569177,8.318739,61.383538,59.10683,4375.36166068,5267.69664146,892.33498078,4375.361661,-239.089009,223,3,78.595376,45.269772,4296.76628463,4330.09188848,survived,
7,DWA,441,1001,2013-12-24,1075,2014-04-11,75,1,2013,rank,95.008757,0.654022,78.003534,35.56,35.46,27.68,29729549.30754,46.023564,0.359198,32.259911,0.0,28,92.90718,91.50613,89.229422,97.285464,50.525394,73.817863,59.982487,78.371278,77.670753,-2296.75841623,-2241.05798126,55.70043498,-8.414987,-3172.869868,4,65,71.351213,145.370147,-2368.10962902,-2442.1285634,delisted,2016-08-23
8,ETFC,489,1001,2013-12-24,1177,2014-09-08,177,1,2013,rank,95.884413,0.689744,79.557522,19.41,19.52,22.4,53140403.18254,62.665685,1.207781,21.82289,19.958834,28,97.810858,78.896673,91.681261,97.810858,55.429072,33.712785,35.989492,45.796848,90.455342,793.11233662,1777.49419482,984.3818582,2118.871491,-165.269006,59,4,59.944484,90.007302,733.16785241,703.10503497,delisted,2020-10-02
9,GNW,605,1001,2013-12-24,1143,2014-07-21,143,1,2013,rank,96.935201,0.768268,79.946996,15.63,15.65,16.43,112132509.055556,81.07511,1.182055,32.42021,35.310738,28,75.394046,69.614711,60.33275,79.071804,26.182137,54.728546,27.408056,79.071804,77.845884,-90.24160439,680.258212,770.49981639,1573.301044,-643.22347,96,42,64.547792,41.708691,-154.78939635,-131.95029543,survived,
10,GPRE,613,1001,2013-12-24,1262,2015-01-08,262,1,2013,rank,96.059545,0.697585,77.807971,19.85,19.88,22.13,10794456.201587,15.979381,1.067831,63.972704,0.0,28,95.359019,99.036778,99.211909,97.985989,91.330998,95.534151,97.460595,97.810858,96.234676,1375.12669946,2296.6716793,921.54497985,7852.63575,-576.276263,174,8,126.004757,5.037783,1249.1219423,1370.08891608,survived,
11,HLF,647,1001,2013-12-24,1079,2014-04-17,79,1,2013,rank,98.161121,0.919878,79.770318,78.55,80.33,55.1,194644512.52381,90.206186,1.450425,37.867522,0.0,28,85.551664,94.658494,97.110333,80.122592,96.76007,96.76007,20.928196,89.229422,95.709282,-3485.58291027,-3199.10126675,286.48164352,42.016784,-4901.547194,10,60,90.420957,9.580659,-3576.00386707,-3495.16356901,survived,
12,IGTE,702,1001,2013-12-24,1182,2014-09-15,182,1,2013,rank,96.76007,0.746181,72.735346,39.78,39.76,37.16,12023410.206349,18.92489,1.866196,30.51893,0.0,28,99.562172,95.534151,97.810858,84.325744,84.500876,86.252189,82.924694,73.642732,96.935201,-995.79586467,-182.00696648,813.78889819,153.271021,-3234.393462,9,62,52.803975,2.513826,-1048.59983986,-998.30969071,delisted,2015-07-01
13,JASO,747,1001,2013-12-24,1102,2014-05-21,102,1,2013,rank,99.036778,1.000889,59.308511,8.95,8.89,9.75,28728612.682699,45.581738,2.216051,105.383134,133.565135,28,13.222417,64.886165,1.138354,6.917688,78.896673,97.635727,89.754816,99.912434,14.098074,1563.01839942,1813.10278494,250.08438553,3034.038125,-79.381425,57,3,182.544948,144.73832,1380.47345125,1418.28007986,delisted,2018-07-17
14,KERX,769,1001,2013-12-24,1026,2014-01-31,26,1,2013,rank,99.912434,1.564409,77.982456,13.01,12.97,15.38,37428779.914286,54.418262,2.181683,68.060994,0.0,28,36.164623,70.84063,49.649737,27.232925,88.879159,98.161121,69.43958,98.336252,97.460595,1973.74786429,1914.00247386,-59.74539043,2238.620238,-617.362927,23,8,148.836637,7.686395,1824.91122739,1966.06146921,delisted,2018-12-12
15,LNG,831,1001,2013-12-24,1359,2015-05-29,359,1,2013,rank,97.110333,0.780043,74.454545,44.15,43.95,75.83,140879744.380952,84.904271,1.2345,28.754455,0.0,28,66.812609,92.556918,92.381786,49.124343,93.782837,92.732049,31.436077,68.739054,81.348511,4806.98719804,6259.84050934,1452.8533113,5990.537349,-520.676464,186,30,58.741307,35.224267,4748.245891,4771.76293088,survived,
16,MANH,853,1001,2013-12-24,1187,2014-09-22,187,1,2013,rank,95.183888,0.655901,76.684397,121.6,121.23,33.8,9929114.695238,12.297496,0.739025,36.163418,12.932753,28,67.513135,23.204904,69.43958,69.43958,73.117338,88.528897,81.873905,87.828371,88.879159,723.72579012,1440.3545593,716.62876919,2495.932527,-1287.51927,56,176,69.572449,26.227635,654.15334136,697.4981548,survived,
17,MEI,870,1001,2013-12-24,1174,2014-09-03,174,1,2013,rank,98.686515,0.979205,75.265957,33.77,33.56,34.26,14651280.730159,24.521355,1.965296,30.231457,0.0,28,58.931699,9.71979,99.38704,34.588441,99.912434,99.036778,91.856392,72.591944,99.211909,-120.7562036,877.19654111,997.9527447,945.705515,-1888.719836,132,85,71.407734,2.961208,-192.16393791,-123.71741177,survived,
18,MINI,888,1001,2013-12-24,1060,2014-03-21,60,1,2013,rank,95.359019,0.669073,79.385965,40.38,40.26,44.19,9878627.301587,12.150221,1.017882,25.560245,9.487351,28,74.868651,75.394046,37.390543,72.06655,47.548161,83.975482,86.952715,60.33275,85.901926,564.12520311,1039.69440031,475.5691972,713.124552,-459.549801,45,32,52.701566,11.963825,511.42363703,552.16137825,delisted,2020-07-01
19,MKTX,892,1001,2013-12-24,1085,2014-04-28,85,1,2013,rank,96.234676,0.703398,77.336861,65.58,66.12,53.69,12215140.380952,19.808542,1.105108,20.98696,32.234757,28,34.938704,57.530648,8.844133,43.695271,75.218914,87.127846,85.201401,40.542907,45.796848,-2111.25281148,-1922.70305534,188.54975614,114.905744,-2111.252811,7,85,63.608523,122.040818,-2174.86133454,-2233.29362989,survived,
20,MNKD,897,1001,2013-12-24,1065,2014-03-28,65,1,2013,ineligible,97.460595,0.828111,95.6942,5.25,5.17,4.83,23898916.27619,40.427099,2.337469,37.043526,13.220431,28,41.943958,69.264448,63.134851,3.590193,87.65324,94.658494,66.287215,88.528897,60.858144,-394.58551479,-92.08231204,302.50320275,3212.461773,-394.585515,11,65,123.584932,32.268051,-518.17044689,-426.85356531,collapsed,
21,NTRI,1002,1001,2013-12-24,1171,2014-08-28,171,1,2013,rank,97.985989,0.865911,70.229682,17.06,17.04,16.02,9933046.84127,12.592047,1.368337,18.859582,77.067542,28,2.889667,1.488616,2.714536,19.176883,33.362522,90.105079,92.381786,32.486865,18.301226,-687.41410142,253.5537009,940.96780232,551.999391,-2278.076087,148,48,74.228451,82.929207,-761.64255212,-770.34330809,delisted,2019-03-08
22,RDN,1158,1001,2013-12-24,1072,2014-04-08,72,1,2013,rank,98.511384,0.966101,77.728873,14.63,14.63,14.48,58166961.761905,64.285714,1.68485,33.801529,86.239876,28,55.25394,41.768827,85.551664,61.7338,86.077058,87.65324,46.14711,82.224168,36.164623,-244.84206816,44.29178037,289.13384854,740.288977,-649.114161,29,9,75.454181,115.075289,-320.29624966,-359.91735748,survived,
23,RRGB,1191,1001,2013-12-24,1103,2014-05-22,103,1,2013,rank,97.635727,0.834018,78.280142,76.29,76.2,72.09,11676383.761905,17.746686,1.249053,32.210606,9.356146,28,37.565674,85.201401,11.996497,28.458844,90.455342,84.676007,85.901926,78.021016,56.830123,-502.73274195,-198.2432306,304.48951135,30.388303,-1998.830156,32,99,85.145707,99.604597,-587.87844862,-602.33733942,survived,
24,SPR,1289,1001,2013-12-24,1074,2014-04-10,74,1,2013,rank,95.709282,0.670626,78.747795,33.99,33.93,27.46,31901749.365079,48.674521,1.177079,25.196238,44.212306,28,82.749562,86.252189,78.021016,98.161121,88.704028,57.705779,51.576182,59.10683,98.161121,-1985.84604228,-1797.49255855,188.35348373,266.011585,-2328.567983,19,71,47.874489,47.154348,-2033.72053119,-2033.00038992,delisted,2025-12-05
