currency,area,period,rate_pct,filled
AUD,AUS,2000-01,5.66,False
AUD,AUS,2000-02,5.8,False
AUD,AUS,2000-03,5.89,False
AUD,AUS,2000-04,6.04,False
AUD,AUS,2000-05,6.31,False
AUD,AUS,2000-06,6.23,False
AUD,AUS,2000-07,6.2,False
AUD,AUS,2000-08,6.49,False
AUD,AUS,2000-09,6.57,False
AUD,AUS,2000-10,6.41,False
AUD,AUS,2000-11,6.33,False
AUD,AUS,2000-12,6.2,False
AUD,AUS,2001-01,5.91,False
AUD,AUS,2001-02,5.59,False
AUD,AUS,2001-03,5.14,False
AUD,AUS,2001-04,4.86,False
AUD,AUS,2001-05,4.89,False
AUD,AUS,2001-06,4.97,False
AUD,AUS,2001-07,5.04,False
AUD,AUS,2001-08,4.95,False
AUD,AUS,2001-09,4.55,False
AUD,AUS,2001-10,4.36,False
AUD,AUS,2001-11,4.28,False
AUD,AUS,2001-12,4.25,False
AUD,AUS,2002-01,4.26,False
AUD,AUS,2002-02,4.31,False
AUD,AUS,2002-03,4.46,False
AUD,AUS,2002-04,4.59,False
AUD,AUS,2002-05,4.84,False
AUD,AUS,2002-06,5.07,False
AUD,AUS,2002-07,4.98,False
AUD,AUS,2002-08,4.96,False
AUD,AUS,2002-09,4.92,False
AUD,AUS,2002-10,4.9,False
AUD,AUS,2002-11,4.84,False
AUD,AUS,2002-12,4.83,False
AUD,AUS,2003-01,4.8,False
AUD,AUS,2003-02,4.75,False
AUD,AUS,2003-03,4.76,False
AUD,AUS,2003-04,4.79,False
AUD,AUS,2003-05,4.78,False
AUD,AUS,2003-06,4.67,False
AUD,AUS,2003-07,4.72,False
AUD,AUS,2003-08,4.82,False
AUD,AUS,2003-09,4.91,False
AUD,AUS,2003-10,4.97,False
AUD,AUS,2003-11,5.31,False
AUD,AUS,2003-12,5.47,False
AUD,AUS,2004-01,5.55,False
AUD,AUS,2004-02,5.57,False
AUD,AUS,2004-03,5.51,False
AUD,AUS,2004-04,5.54,False
AUD,AUS,2004-05,5.51,False
AUD,AUS,2004-06,5.49,False
AUD,AUS,2004-07,5.46,False
AUD,AUS,2004-08,5.44,False
AUD,AUS,2004-09,5.42,False
AUD,AUS,2004-10,5.41,False
AUD,AUS,2004-11,5.43,False
AUD,AUS,2004-12,5.41,False
AUD,AUS,2005-01,5.42,False
AUD,AUS,2005-02,5.63,False
AUD,AUS,2005-03,5.81,False
AUD,AUS,2005-04,5.75,False
AUD,AUS,2005-05,5.68,False
AUD,AUS,2005-06,5.66,False
AUD,AUS,2005-07,5.65,False
AUD,AUS,2005-08,5.62,False
AUD,AUS,2005-09,5.62,False
AUD,AUS,2005-10,5.63,False
AUD,AUS,2005-11,5.63,False
AUD,AUS,2005-12,5.63,False
AUD,AUS,2006-01,5.63,False
AUD,AUS,2006-02,5.61,False
AUD,AUS,2006-03,5.61,False
AUD,AUS,2006-04,5.69,False
AUD,AUS,2006-05,5.87,False
AUD,AUS,2006-06,5.96,False
AUD,AUS,2006-07,6.05,False
AUD,AUS,2006-08,6.19,False
AUD,AUS,2006-09,6.21,False
AUD,AUS,2006-10,6.28,False
AUD,AUS,2006-11,6.37,False
AUD,AUS,2006-12,6.39,False
AUD,AUS,2007-01,6.43,False
AUD,AUS,2007-02,6.37,False
AUD,AUS,2007-03,6.43,False
AUD,AUS,2007-04,6.48,False
AUD,AUS,2007-05,6.37,False
AUD,AUS,2007-06,6.42,False
AUD,AUS,2007-07,6.47,False
AUD,AUS,2007-08,6.75,False
AUD,AUS,2007-09,6.94,False
AUD,AUS,2007-10,6.91,False
AUD,AUS,2007-11,7.15,False
AUD,AUS,2007-12,7.29,False
AUD,AUS,2008-01,7.18,False
AUD,AUS,2008-02,7.69,False
AUD,AUS,2008-03,7.9,False
AUD,AUS,2008-04,7.84,False
AUD,AUS,2008-05,7.75,False
AUD,AUS,2008-06,7.81,False
AUD,AUS,2008-07,7.75,False
AUD,AUS,2008-08,7.31,False
AUD,AUS,2008-09,7.27,False
AUD,AUS,2008-10,6.03,False
AUD,AUS,2008-11,4.76,False
AUD,AUS,2008-12,4.39,False
AUD,AUS,2009-01,3.74,False
AUD,AUS,2009-02,3.16,False
AUD,AUS,2009-03,3.16,False
AUD,AUS,2009-04,3.1,False
AUD,AUS,2009-05,3.13,False
AUD,AUS,2009-06,3.25,False
AUD,AUS,2009-07,3.14,False
AUD,AUS,2009-08,3.3,False
AUD,AUS,2009-09,3.37,False
AUD,AUS,2009-10,3.78,False
AUD,AUS,2009-11,3.95,False
AUD,AUS,2009-12,4.129047,False
AUD,AUS,2010-01,4.2025,False
AUD,AUS,2010-02,4.16,False
AUD,AUS,2010-03,4.3275,False
AUD,AUS,2010-04,4.545,False
AUD,AUS,2010-05,4.805,False
AUD,AUS,2010-06,4.8875,False
AUD,AUS,2010-07,4.84,False
AUD,AUS,2010-08,4.7425,False
AUD,AUS,2010-09,4.815,False
AUD,AUS,2010-10,4.81,False
AUD,AUS,2010-11,5.015,False
AUD,AUS,2010-12,5.025,False
AUD,AUS,2011-01,4.955,False
AUD,AUS,2011-02,4.9175,False
AUD,AUS,2011-03,4.92,False
AUD,AUS,2011-04,4.9,False
AUD,AUS,2011-05,5.0025,False
AUD,AUS,2011-06,4.9925,False
AUD,AUS,2011-07,4.955,False
AUD,AUS,2011-08,4.8575,False
AUD,AUS,2011-09,4.81,False
AUD,AUS,2011-10,4.725,False
AUD,AUS,2011-11,4.6225,False
AUD,AUS,2011-12,4.5075,False
AUD,AUS,2012-01,4.41,False
AUD,AUS,2012-02,4.37,False
AUD,AUS,2012-03,4.4425,False
AUD,AUS,2012-04,4.2025,False
AUD,AUS,2012-05,3.655,False
AUD,AUS,2012-06,3.4925,False
AUD,AUS,2012-07,3.545,False
AUD,AUS,2012-08,3.6175,False
AUD,AUS,2012-09,3.49,False
AUD,AUS,2012-10,3.1625,False
AUD,AUS,2012-11,3.2425,False
AUD,AUS,2012-12,3.1125,False
AUD,AUS,2013-01,3.0,False
AUD,AUS,2013-02,2.94,False
AUD,AUS,2013-03,3.05,False
AUD,AUS,2013-04,3.02,False
AUD,AUS,2013-05,2.82,False
AUD,AUS,2013-06,2.8,False
AUD,AUS,2013-07,2.76,False
AUD,AUS,2013-08,2.6,False
AUD,AUS,2013-09,2.58,False
AUD,AUS,2013-10,2.58,False
AUD,AUS,2013-11,2.58,False
AUD,AUS,2013-12,2.6,False
AUD,AUS,2014-01,2.62,False
AUD,AUS,2014-02,2.63,False
AUD,AUS,2014-03,2.65,False
AUD,AUS,2014-04,2.68,False
AUD,AUS,2014-05,2.69,False
AUD,AUS,2014-06,2.7,False
AUD,AUS,2014-07,2.65,False
AUD,AUS,2014-08,2.63,False
AUD,AUS,2014-09,2.66,False
AUD,AUS,2014-10,2.72,False
AUD,AUS,2014-11,2.75,False
AUD,AUS,2014-12,2.75,False
AUD,AUS,2015-01,2.7,False
AUD,AUS,2015-02,2.36,False
AUD,AUS,2015-03,2.3,False
AUD,AUS,2015-04,2.25,False
AUD,AUS,2015-05,2.15,False
AUD,AUS,2015-06,2.15,False
AUD,AUS,2015-07,2.14,False
AUD,AUS,2015-08,2.14,False
AUD,AUS,2015-09,2.17,False
AUD,AUS,2015-10,2.15,False
AUD,AUS,2015-11,2.22,False
AUD,AUS,2015-12,2.34,False
AUD,AUS,2016-01,2.3,False
AUD,AUS,2016-02,2.28,False
AUD,AUS,2016-03,2.31,False
AUD,AUS,2016-04,2.26,False
AUD,AUS,2016-05,2.0,False
AUD,AUS,2016-06,1.99,False
AUD,AUS,2016-07,1.93,False
AUD,AUS,2016-08,1.76,False
AUD,AUS,2016-09,1.73,False
AUD,AUS,2016-10,1.74,False
AUD,AUS,2016-11,1.76,False
AUD,AUS,2016-12,1.78,False
AUD,AUS,2017-01,1.78,False
AUD,AUS,2017-02,1.78,False
AUD,AUS,2017-03,1.79,False
AUD,AUS,2017-04,1.77,False
AUD,AUS,2017-05,1.73,False
AUD,AUS,2017-06,1.72,False
AUD,AUS,2017-07,1.7,False
AUD,AUS,2017-08,1.7,False
AUD,AUS,2017-09,1.72,False
AUD,AUS,2017-10,1.7,False
AUD,AUS,2017-11,1.72,False
AUD,AUS,2017-12,1.77,False
AUD,AUS,2018-01,1.79,False
AUD,AUS,2018-02,1.77,False
AUD,AUS,2018-03,1.93,False
AUD,AUS,2018-04,2.06,False
AUD,AUS,2018-05,1.96,False
AUD,AUS,2018-06,2.07,False
AUD,AUS,2018-07,2.02,False
AUD,AUS,2018-08,1.96,False
AUD,AUS,2018-09,1.93,False
AUD,AUS,2018-10,1.93,False
AUD,AUS,2018-11,1.94,False
AUD,AUS,2018-12,2.02,False
AUD,AUS,2019-01,2.07,False
AUD,AUS,2019-02,1.96,False
AUD,AUS,2019-03,1.83,False
AUD,AUS,2019-04,1.68,False
AUD,AUS,2019-05,1.54,False
AUD,AUS,2019-06,1.29,False
AUD,AUS,2019-07,1.11,False
AUD,AUS,2019-08,0.98,False
AUD,AUS,2019-09,0.98,False
AUD,AUS,2019-10,0.88,False
AUD,AUS,2019-11,0.91,False
AUD,AUS,2019-12,0.9,False
AUD,AUS,2020-01,0.89,False
AUD,AUS,2020-02,0.89,False
AUD,AUS,2020-03,0.53,False
AUD,AUS,2020-04,0.17,False
AUD,AUS,2020-05,0.1,False
AUD,AUS,2020-06,0.1,False
AUD,AUS,2020-07,0.1,False
AUD,AUS,2020-08,0.1,False
AUD,AUS,2020-09,0.09,False
AUD,AUS,2020-10,0.07,False
AUD,AUS,2020-11,0.02,False
AUD,AUS,2020-12,0.02,False
AUD,AUS,2021-01,0.01,False
AUD,AUS,2021-02,0.01,False
AUD,AUS,2021-03,0.03,False
AUD,AUS,2021-04,0.04,False
AUD,AUS,2021-05,0.04,False
AUD,AUS,2021-06,0.03,False
AUD,AUS,2021-07,0.02,False
AUD,AUS,2021-08,0.01,False
AUD,AUS,2021-09,0.01,False
AUD,AUS,2021-10,0.04,False
AUD,AUS,2021-11,0.04,False
AUD,AUS,2021-12,0.06,False
AUD,AUS,2022-01,0.07,False
AUD,AUS,2022-02,0.07,False
AUD,AUS,2022-03,0.17,False
AUD,AUS,2022-04,0.41,False
AUD,AUS,2022-05,1.0,False
AUD,AUS,2022-06,1.6,False
AUD,AUS,2022-07,2.07,False
AUD,AUS,2022-08,2.31,False
AUD,AUS,2022-09,2.76,False
AUD,AUS,2022-10,2.95,False
AUD,AUS,2022-11,3.06,False
AUD,AUS,2022-12,3.17,False
AUD,AUS,2023-01,3.32,False
AUD,AUS,2023-02,3.46,False
AUD,AUS,2023-03,3.64,False
