venue,symbol,asset,margin,settlement_utc,funding_rate,mark_price
binance,BTCUSDT,BTC,usdt,2019-09-10T08:00:00Z,0.0001,
binance,BTCUSDT,BTC,usdt,2019-09-10T16:00:00Z,0.0001,
binance,BTCUSDT,BTC,usdt,2019-09-11T00:00:00Z,0.0001,
binance,BTCUSDT,BTC,usdt,2019-09-11T08:00:00Z,0.0001,
binance,BTCUSDT,BTC,usdt,2019-09-11T16:00:00Z,0.0001,
binance,BTCUSDT,BTC,usdt,2019-09-12T00:00:00Z,0.0001,
binance,BTCUSDT,BTC,usdt,2019-09-12T08:00:00Z,0.0001,
binance,BTCUSDT,BTC,usdt,2019-09-12T16:00:00Z,0.0001,
binance,BTCUSDT,BTC,usdt,2019-09-13T00:00:00Z,0.0001,
binance,BTCUSDT,BTC,usdt,2019-09-13T08:00:00Z,0.0001,
binance,BTCUSDT,BTC,usdt,2019-09-13T16:00:00Z,0.0001,
binance,BTCUSDT,BTC,usdt,2019-09-14T00:00:00Z,0.0001,
binance,BTCUSDT,BTC,usdt,2019-09-14T08:00:00Z,0.0001,
binance,BTCUSDT,BTC,usdt,2019-09-14T16:00:00Z,0.0001,
binance,BTCUSDT,BTC,usdt,2019-09-15T00:00:00Z,0.0001,
binance,BTCUSDT,BTC,usdt,2019-09-15T08:00:00Z,0.0001,
binance,BTCUSDT,BTC,usdt,2019-09-15T16:00:00Z,0.0001,
binance,BTCUSDT,BTC,usdt,2019-09-16T00:00:00Z,0.0001,
binance,BTCUSDT,BTC,usdt,2019-09-16T08:00:00Z,0.0001,
binance,BTCUSDT,BTC,usdt,2019-09-16T16:00:00Z,0.0001,
binance,BTCUSDT,BTC,usdt,2019-09-17T00:00:00Z,0.0001,
binance,BTCUSDT,BTC,usdt,2019-09-17T08:00:00Z,0.0001,
binance,BTCUSDT,BTC,usdt,2019-09-17T16:00:00Z,0.0001,
binance,BTCUSDT,BTC,usdt,2019-09-18T00:00:00Z,0.0001,
binance,BTCUSDT,BTC,usdt,2019-09-18T08:00:00Z,0.0001,
binance,BTCUSDT,BTC,usdt,2019-09-18T16:00:00Z,0.0001,
binance,BTCUSDT,BTC,usdt,2019-09-19T00:00:00Z,0.0001,
binance,BTCUSDT,BTC,usdt,2019-09-19T08:00:00Z,0.0001,
