venue,symbol,asset,margin,day_utc,open_interest_contracts
bybit_inverse,BTCUSD,BTC,coin,2020-08-04,320359182
bybit_inverse,BTCUSD,BTC,coin,2020-08-05,293149852
bybit_inverse,BTCUSD,BTC,coin,2020-08-06,314463536
bybit_inverse,BTCUSD,BTC,coin,2020-08-07,341346960
bybit_inverse,BTCUSD,BTC,coin,2020-08-08,321057508
bybit_inverse,BTCUSD,BTC,coin,2020-08-09,295488512
bybit_inverse,BTCUSD,BTC,coin,2020-08-10,319662636
bybit_inverse,BTCUSD,BTC,coin,2020-08-11,344265620
bybit_inverse,BTCUSD,BTC,coin,2020-08-12,337578584
bybit_inverse,BTCUSD,BTC,coin,2020-08-13,311785010
bybit_inverse,BTCUSD,BTC,coin,2020-08-14,333970962
bybit_inverse,BTCUSD,BTC,coin,2020-08-15,340794536
bybit_inverse,BTCUSD,BTC,coin,2020-08-16,343432552
bybit_inverse,BTCUSD,BTC,coin,2020-08-17,374555694
bybit_inverse,BTCUSD,BTC,coin,2020-08-18,413131528
bybit_inverse,BTCUSD,BTC,coin,2020-08-19,413744902
bybit_inverse,BTCUSD,BTC,coin,2020-08-20,392665144
bybit_inverse,BTCUSD,BTC,coin,2020-08-21,410542886
bybit_inverse,BTCUSD,BTC,coin,2020-08-22,397070680
bybit_inverse,BTCUSD,BTC,coin,2020-08-23,369349278
bybit_inverse,BTCUSD,BTC,coin,2020-08-24,369281532
bybit_inverse,BTCUSD,BTC,coin,2020-08-25,380202210
bybit_inverse,BTCUSD,BTC,coin,2020-08-26,361675332
bybit_inverse,BTCUSD,BTC,coin,2020-08-27,328360030
bybit_inverse,BTCUSD,BTC,coin,2020-08-28,328747312
bybit_inverse,BTCUSD,BTC,coin,2020-08-29,324025566
bybit_inverse,BTCUSD,BTC,coin,2020-08-30,320652084
bybit_inverse,BTCUSD,BTC,coin,2020-08-31,333997184
bybit_inverse,BTCUSD,BTC,coin,2020-09-01,336321092
bybit_inverse,BTCUSD,BTC,coin,2020-09-02,339801602
bybit_inverse,BTCUSD,BTC,coin,2020-09-03,367497158
bybit_inverse,BTCUSD,BTC,coin,2020-09-04,249483490
bybit_inverse,BTCUSD,BTC,coin,2020-09-05,184330230
bybit_inverse,BTCUSD,BTC,coin,2020-09-06,188057948
