root,signal,gate,obs,n_gated,n_rest,p50,p95,share_ge
ES,drift,level,-0.20891364902506648,180,1795,-0.20891364902506648,6.515010832559587,0.5555
ES,drift,change,-1.686001690652017,901,1074,-0.05322040273892936,3.824635156054612,0.7735
ES,macd,level,0.0579277319362026,131,1186,0.0579277319362026,7.687010027934038,0.543
ES,macd,change,2.737449589764984,612,705,-0.009734390209981125,4.568905576414972,0.183
NQ,drift,level,1.2187942329613066,178,1794,-0.016283992835042227,6.776646249044882,0.4215
NQ,drift,change,-1.6704271721170838,941,1031,-0.04432208342652899,3.6144143661272055,0.773
NQ,macd,level,-0.9674900214033721,118,1172,-0.034708162202812254,8.360328570602181,0.609
NQ,macd,change,2.9057529133482363,609,681,0.10633449794926753,4.149938875747772,0.158
YM,drift,level,0.13794141252005954,178,1792,0.13794141252005954,6.313954654895671,0.5405
YM,drift,change,1.2660798355546676,914,1056,0.04144287514090683,3.7153537563822003,0.313
YM,macd,level,6.54658635321026,129,1193,0.5334736869464618,7.405602448390802,0.084
YM,macd,change,1.8496772429261177,619,703,0.026886847735407837,4.280064436513708,0.2675
ZN,drift,level,2.7152858884272435,174,1801,0.19433647973348123,6.496710001467898,0.262
ZN,drift,change,-0.25370351759824716,986,989,-0.051171404721717106,3.5944066270558297,0.5575
ZN,macd,level,-9.775716019993624,127,1161,-0.16683961016500382,7.694968361512955,0.987
ZN,macd,change,-1.8548542752364394,660,628,0.009650646593317713,4.670912951167727,0.759
ZB,drift,level,1.9390231570431737,176,1798,0.06762564465567777,6.929416523409854,0.3305
ZB,drift,change,0.8956652185564851,1003,971,0.08491518236228845,3.733290345236173,0.3805
ZB,macd,level,2.0891967958432622,124,1192,0.30850833513746956,7.431262177960596,0.3625
ZB,macd,change,-0.6919743456404892,675,641,-0.08366556884497056,4.782804645519157,0.621
GC,drift,level,0.6295621038497734,169,1798,-0.017771225095603027,7.1028953933035375,0.477
GC,drift,change,0.7443978678259133,950,1017,-0.06996843140298914,3.798271489934274,0.3885
GC,macd,level,-4.044046320887884,127,1177,0.31777038915165035,8.169040467222821,0.837
GC,macd,change,-1.8954691368484489,666,638,-0.054129364474186925,4.549220066461446,0.7805
CL,drift,level,-3.667377398720678,175,1742,0.1056257175660158,6.393964244710515,0.8345
CL,drift,change,-0.9671300353372381,899,1018,-0.12926390597717274,3.8506002084831237,0.6845
CL,macd,level,-8.210510188447989,122,1070,0.007660487206995192,8.225831162861963,0.9605
CL,macd,change,-1.606283053121793,574,618,0.07385857492416825,4.778255133452857,0.7205
6E,drift,level,-6.841303105353402,174,1810,0.08827078173620495,6.387883406363115,0.9635
6E,drift,change,-2.6986868856719193,939,1045,-0.07021620271998597,3.569204742905774,0.89
6E,macd,level,1.108670449691862,135,1214,0.28555738605161585,6.870461895173586,0.433
6E,macd,change,-2.9856263918106474,652,697,-0.017163830967070748,4.435530010298305,0.875
