root,H,n,ties,tie_pct,hit_incl,hit_excl,hit_up,hit_dn,n_up,n_dn
CL,15,1896,33,1.740506329113924,0.475210970464135,0.4836285560923242,0.4867444326617179,0.48043478260869565,943,920
CL,30,1895,38,2.005277044854881,0.48970976253298154,0.49973074851911686,0.5209003215434084,0.47835497835497837,933,924
CL,60,1894,21,1.1087645195353748,0.4825765575501584,0.48798718633208754,0.5052742616033755,0.4702702702702703,948,925
CL,120,1889,8,0.4235044997353097,0.4949708840656432,0.49707602339181284,0.5026399155227033,0.49143468950749464,947,934
GC,15,1942,45,2.317198764160659,0.4721936148300721,0.4833948339483395,0.48788198103266595,0.47890295358649787,949,948
GC,30,1942,29,1.4933058702368691,0.470648815653965,0.4777835859905907,0.4702194357366771,0.48535564853556484,957,956
GC,60,1942,13,0.6694129763130793,0.4691040164778579,0.472265422498704,0.4744525547445255,0.47010309278350515,959,970
GC,120,1940,17,0.8762886597938144,0.47835051546391755,0.4825793031721269,0.49323621227887615,0.47193347193347196,961,962
SI,15,1928,88,4.564315352697095,0.4533195020746888,0.475,0.4694533762057878,0.4807056229327453,933,907
SI,30,1928,77,3.9937759336099585,0.4610995850622407,0.48028092922744464,0.47186147186147187,0.4886731391585761,924,927
SI,60,1928,50,2.5933609958506225,0.4699170124481328,0.48242811501597443,0.4804646251319958,0.48442534908700324,947,931
SI,120,1924,25,1.2993762993762994,0.4802494802494803,0.48657187993680884,0.4754953076120959,0.4978723404255319,959,940
NG,15,1885,76,4.031830238726791,0.4461538461538462,0.46489773355444997,0.45659526493799324,0.47288503253796094,887,922
NG,30,1884,48,2.5477707006369426,0.46337579617834396,0.47549019607843135,0.4881889763779528,0.4635691657866948,889,947
NG,60,1880,28,1.4893617021276595,0.4856382978723404,0.4929805615550756,0.48777777777777775,0.49789915966386555,900,952
NG,120,1863,26,1.3955984970477724,0.4787976382179281,0.48557430593358736,0.4742152466367713,0.4962962962962963,892,945
ES,15,1958,62,3.166496424923391,0.4780388151174668,0.4936708860759494,0.5301204819277109,0.4533333333333333,996,900
ES,30,1958,40,2.0429009193054135,0.4811031664964249,0.49113660062565173,0.5212660731948566,0.45755237045203967,1011,907
ES,60,1955,36,1.8414322250639386,0.49769820971867007,0.5070349140177176,0.5508390918065152,0.45805739514348787,1013,906
ES,120,1946,22,1.1305241521068858,0.48047276464542654,0.48596673596673595,0.5291790306627102,0.43811610076670315,1011,913
NQ,15,1959,14,0.7146503318019398,0.5002552322613578,0.5038560411311054,0.5257633587786259,0.4782608695652174,1048,897
NQ,30,1959,10,0.5104645227156712,0.5043389484430832,0.5069266290405336,0.5314285714285715,0.4783092324805339,1050,899
NQ,60,1957,15,0.7664793050587634,0.49923352069494126,0.5030895983522142,0.5214081826831589,0.48148148148148145,1051,891
NQ,120,1944,8,0.411522633744856,0.5020576131687243,0.5041322314049587,0.5415472779369628,0.46006749156355453,1047,889
