root,side,H,n,obs,base_p50,base_p95,lift,share_ge,clears
ES,up,15,996,0.5301204819277109,0.52639444849531,0.5507110337972168,0.003726033432400855,0.411,False
ES,down,15,900,0.4533333333333333,0.47123893805309736,0.4983765396628948,-0.017905604719764046,0.871,False
ES,up,30,1011,0.5212660731948566,0.5285433070866141,0.5541338582677166,-0.007277233891757495,0.665,False
ES,down,30,907,0.45755237045203967,0.4718853362734289,0.49889636879929206,-0.01433296582138921,0.815,False
ES,up,60,1013,0.5508390918065152,0.5355731225296443,0.5631959670673182,0.015265969276870961,0.183,False
ES,down,60,906,0.45805739514348787,0.4656403920041976,0.49284928492849284,-0.007582996860709734,0.671,False
ES,up,120,1011,0.5291790306627102,0.5469831849653808,0.571867373480572,-0.017804154302670572,0.884,False
ES,down,120,913,0.43811610076670315,0.45394736842105265,0.4783235183866938,-0.0158312676543495,0.842,False
NQ,up,15,1048,0.5257633587786259,0.526768740311778,0.5511099974215666,-0.0010053815331521054,0.521,False
NQ,down,15,897,0.4782608695652174,0.47262569832402235,0.4988814317673378,0.005635171241195058,0.343,False
NQ,up,30,1050,0.5314285714285715,0.5313092979127134,0.5566181465924231,0.00011927351585805379,0.495,False
NQ,down,30,899,0.4783092324805339,0.4693422519509476,0.4972132420142286,0.008966980529586333,0.318,False
NQ,up,60,1051,0.5214081826831589,0.5294117647058824,0.5552487023245316,-0.008003582022723443,0.709,False
NQ,down,60,891,0.48148148148148145,0.46890818335208095,0.49776286353467564,0.0125732981294005,0.242,False
NQ,up,120,1047,0.5415472779369628,0.5438931297709924,0.5696631478697474,-0.0023458518340295775,0.553,False
NQ,down,120,889,0.46006749156355453,0.4556677890011223,0.4826309285110783,0.004399702562432217,0.392,False
CL,up,15,943,0.4867444326617179,0.5026455026455027,0.5287234042553192,-0.015901069983784766,0.828,False
CL,down,15,920,0.48043478260869565,0.49836779107725787,0.5260897982381358,-0.017933008468562217,0.871,False
CL,up,30,933,0.5209003215434084,0.5074389031937481,0.5340636492858916,0.013461418349660303,0.192,False
CL,down,30,924,0.47835497835497837,0.49290392167378777,0.5194426615068192,-0.014548943318809404,0.811,False
CL,up,60,948,0.5052742616033755,0.5079449241697386,0.5334145004767549,-0.002670662566363058,0.572,False
CL,down,60,925,0.4702702702702703,0.49185667752442996,0.5177629493382939,-0.021586407254159667,0.893,False
CL,up,120,947,0.5026399155227033,0.5090329436769394,0.5370841597547782,-0.006393028154236147,0.643,False
CL,down,120,934,0.49143468950749464,0.4908700322234157,0.5187607368616579,0.000564657284078951,0.487,False
GC,up,15,949,0.48788198103266595,0.5089473783350453,0.5335567732977448,-0.021065397302379385,0.902,False
GC,down,15,948,0.47890295358649787,0.49320794148380354,0.5204231423522222,-0.014304987897305665,0.801,False
GC,up,30,957,0.4702194357366771,0.5020898664407194,0.5289873112047769,-0.031870430704042274,0.978,False
GC,down,30,956,0.48535564853556484,0.4994769868754343,0.5256008359456635,-0.01412133833986945,0.78,False
GC,up,60,959,0.4744525547445255,0.5005208338984743,0.5303433277228022,-0.026068279153948826,0.949,False
GC,down,60,970,0.47010309278350515,0.5,0.5253938848242061,-0.02989690721649485,0.963,False
GC,up,120,961,0.49323621227887615,0.5083420320111343,0.5342394968879668,-0.015105819732258108,0.824,False
GC,down,120,962,0.47193347193347196,0.49067356511430116,0.5155634076763485,-0.018740093180829198,0.879,False
SI,up,15,933,0.4694533762057878,0.5123656056950002,0.5390411640343241,-0.04291222948921242,0.996,False
SI,down,15,907,0.4807056229327453,0.4874041621029573,0.5153403232988002,-0.006698539170211959,0.646,False
SI,up,30,924,0.47186147186147187,0.507698582472482,0.5329087048832272,-0.03583711061101014,0.986,False
SI,down,30,927,0.4886731391585761,0.4929347742613117,0.5186134893151952,-0.004261635102735639,0.593,False
SI,up,60,947,0.4804646251319958,0.5015756319906257,0.5274290595088358,-0.021111006858629933,0.908,False
SI,down,60,931,0.48442534908700324,0.49973147153598285,0.5250400937258907,-0.015306122448979609,0.823,False
SI,up,120,959,0.4754953076120959,0.4994747893364581,0.5271966527196653,-0.023979481724362206,0.939,False
SI,down,120,940,0.4978723404255319,0.4994658113560744,0.5262173724526666,-0.0015934709305424621,0.527,False
NG,up,15,887,0.45659526493799324,0.48875139184127947,0.5156338177200903,-0.03215612690328623,0.974,False
NG,down,15,922,0.47288503253796094,0.5099181841810483,0.5381392686524448,-0.03703315164308735,0.982,False
NG,up,30,889,0.4881889763779528,0.48878923766816146,0.5156617108576359,-0.0006002612902086812,0.515,False
NG,down,30,947,0.4635691657866948,0.511122893837634,0.5372340425531915,-0.04755372805093916,0.997,False
NG,up,60,900,0.48777777777777775,0.48769574944071586,0.5144680785758134,8.202833706189017e-05,0.495,False
NG,down,60,952,0.49789915966386555,0.5122995215168704,0.5413135593220338,-0.014400361853004862,0.826,False
NG,up,120,892,0.4742152466367713,0.4854586129753915,0.512249443207127,-0.01124336633862022,0.752,False
NG,down,120,945,0.4962962962962963,0.5148462521141459,0.5415048407069684,-0.018549955817849628,0.86,False
