root,months,busiest,sessions,vol_p50,vol_p10,bars_per_session,tick_pts,px
MNQ,6,MNQM6,66,1408005.0,464124.5,410.77272727272725,0.25,27024.0
MES,6,MESM6,66,930166.5,337345.5,410.8787878787879,0.25,7158.25
MCL,20,MCLK6,30,163316.0,33062.200000000004,416.3666666666667,0.01,95.0
CL,47,CLK6,31,145003.0,72182.0,408.83870967741933,0.01,94.93
MGC,13,MGCM6,65,112817.0,842.4000000000007,366.32307692307694,0.1,4693.1
GC,24,GCM6,65,39890.0,915.6000000000006,366.46153846153845,0.1,4692.700000000001
SIL,11,SILK6,54,24931.5,3.0,284.6296296296296,0.005,75.915
NG,69,NGM26,57,19297.0,8690.6,404.8070175438597,0.001,2.914
SI,20,SIK6,57,12188.0,8.8,268.3333333333333,0.005,75.935
HG,26,HGN6,65,6493.0,863.0,346.7692307692308,0.0005,6.139
QM,17,QMK6,30,5658.5,837.2,360.53333333333336,0.025,95.6875
MHG,13,MHGK6,36,5089.5,3047.5,372.52777777777777,0.0005,5.777
MNG,16,MNGK6,35,3191.0,1188.8000000000002,317.9142857142857,0.001,2.85
QO,8,QOM6,57,1440.0,54.2,232.64912280701753,0.25,4694.0
QG,19,QGK6,35,753.0,262.2,177.02857142857144,0.005,2.865
QI,8,QIK6,36,364.5,128.0,186.08333333333334,0.0125,76.0875
QC,8,QCN6,56,32.0,1.0,20.642857142857142,0.002,6.3580000000000005
