root,sessions,status,traded,tick_usd,e_move_usd,e_move_ticks,sigma_usd,cost_rt,ratio,cd_pass
NG,1920,ok,NG,10.0,627.8385416666666,62.783854166666664,1081.4104896174588,13.09,0.02084930938653615,False
NQ,1972,ok,MNQ,0.5,164.87221095334687,329.74442190669373,247.65522213515067,3.5045,0.021255856155114293,True
HG,1967,ok,HG,12.5,510.2313167259785,40.81850533807828,704.2391376843484,15.612499999999999,0.030598866608544033,False
SI,1967,ok,SI,25.0,839.5144890696494,33.58057956278597,1248.81322100764,28.224999999999998,0.03362062283317941,False
ES,1975,ok,MES,1.25,101.44240506329112,81.1539240506329,151.99726384933487,4.26125,0.042006594750404,True
RTY,1598,ok,M2K,0.5,79.82759699624528,159.65519399249055,107.24943354229265,3.5045,0.04390085799732686,True
YM,1970,ok,MYM,0.5,78.61218274111674,157.22436548223348,117.63207913715615,3.5045,0.04457960430307493,True
CL,1917,ok,MCL,1.0,82.04642670839854,82.04642670839854,117.95566515793399,4.009,0.04886257891825563,True
GC,1967,ok,MGC,1.0,71.00406710726998,71.00406710726998,102.30775599331828,4.009,0.05646155443382378,True
ZB,1974,ok,ZB,31.25,506.94972137791285,16.22239108409321,696.9814453074824,34.53125,0.06811572931955158,False
ZF,1974,ok,ZF,7.8125,125.76779381965552,16.098277608915907,185.39343556928796,10.8828125,0.08653099628673926,True
ZN,1975,ok,ZN,15.625,208.74208860759495,13.359493670886076,295.5499224946768,18.765625,0.08989861663824142,True
6E,1984,ok,M6E,1.25,31.978641633064537,25.58291330645163,43.09592116498296,4.26125,0.13325300207855145,True
